Num nodes,alpha,beta,gamma1,gamma2,average f1 over 50 runs
100,0.05,0.01,10,0.5,0.5739206910337247
100,0.05,0.02,10,0.5,0.6212261343174155
100,0.05,0.03,10,0.5,0.687071183143045
100,0.05,0.04,10,0.5,0.7378931794522252
100,0.05,0.05,10,0.5,0.7408668932909093
100,0.05,0.06,10,0.5,0.7720371145136062
100,0.05,0.07,10,0.5,0.7988625803846651
100,0.05,0.08,10,0.5,0.7803316904037743
100,0.05,0.09,10,0.5,0.7791923483898705
100,0.05,0.1,10,0.5,0.7908096075589286
100,0.1,0.0,10,0.5,0.36256017537249724
100,0.1,0.01,10,0.5,0.6816999232922879
100,0.1,0.02,10,0.5,0.7663586962381249
100,0.1,0.03,10,0.5,0.7646661473711673
100,0.1,0.04,10,0.5,0.8139755738173018
100,0.1,0.05,10,0.5,0.8022980446435792
100,0.1,0.06,10,0.5,0.8260000220588758
100,0.1,0.07,10,0.5,0.8547359904126387
100,0.1,0.08,10,0.5,0.8656924985417993
100,0.1,0.09,10,0.5,0.856301615384889
100,0.1,0.1,10,0.5,0.8669520879107024
100,0.15000000000000002,0.0,10,0.5,0.3912288823878967
100,0.15000000000000002,0.01,10,0.5,0.7290993602505819
100,0.15000000000000002,0.02,10,0.5,0.8063694095434601
100,0.15000000000000002,0.03,10,0.5,0.81301867793241
100,0.15000000000000002,0.04,10,0.5,0.8328295211943996
100,0.15000000000000002,0.05,10,0.5,0.8461328556773858
100,0.15000000000000002,0.06,10,0.5,0.8667342656905882
100,0.15000000000000002,0.07,10,0.5,0.8747506081733789
100,0.15000000000000002,0.08,10,0.5,0.8883260749664527
100,0.15000000000000002,0.09,10,0.5,0.8829836936587394
100,0.15000000000000002,0.1,10,0.5,0.8665694977155579
100,0.2,0.0,10,0.5,0.3810202348205766
100,0.2,0.01,10,0.5,0.747383231243029
100,0.2,0.02,10,0.5,0.8028074444717426
100,0.2,0.03,10,0.5,0.853966222138544
100,0.2,0.04,10,0.5,0.8583201075508485
100,0.2,0.05,10,0.5,0.8650701725796834
100,0.2,0.06,10,0.5,0.8766970278320732
100,0.2,0.07,10,0.5,0.8771095025218015
100,0.2,0.08,10,0.5,0.8969347795473894
100,0.2,0.09,10,0.5,0.8947308254550081
100,0.2,0.1,10,0.5,0.8872366953826776
100,0.25,0.0,10,0.5,0.35702236114749253
100,0.25,0.01,10,0.5,0.7520109435481963
100,0.25,0.02,10,0.5,0.8321982868173083
100,0.25,0.03,10,0.5,0.8574581934876869
100,0.25,0.04,10,0.5,0.8689817157821302
100,0.25,0.05,10,0.5,0.8835868001608179
100,0.25,0.06,10,0.5,0.8807945608582503
100,0.25,0.07,10,0.5,0.8848835708354607
100,0.25,0.08,10,0.5,0.8941215037804955
100,0.25,0.09,10,0.5,0.8907492127814458
100,0.25,0.1,10,0.5,0.870299923233187
100,0.30000000000000004,0.0,10,0.5,0.4016098160833952
100,0.30000000000000004,0.01,10,0.5,0.7584788017712653
100,0.30000000000000004,0.02,10,0.5,0.8629921675526517
100,0.30000000000000004,0.03,10,0.5,0.8729501538490898
100,0.30000000000000004,0.04,10,0.5,0.8787946092397418
100,0.30000000000000004,0.05,10,0.5,0.8932226952414548
100,0.30000000000000004,0.06,10,0.5,0.8869834577254001
100,0.30000000000000004,0.07,10,0.5,0.866555270008047
100,0.30000000000000004,0.08,10,0.5,0.8891169696521679
100,0.30000000000000004,0.09,10,0.5,0.8778061061348343
100,0.30000000000000004,0.1,10,0.5,0.8671978082172792
100,0.35000000000000003,0.0,10,0.5,0.4701723417238718
100,0.35000000000000003,0.01,10,0.5,0.7985983779404886
100,0.35000000000000003,0.02,10,0.5,0.8699419418356712
100,0.35000000000000003,0.03,10,0.5,0.8790553653895331
100,0.35000000000000003,0.04,10,0.5,0.8747568979884792
100,0.35000000000000003,0.05,10,0.5,0.8801539342454973
100,0.35000000000000003,0.06,10,0.5,0.8828088630272289
100,0.35000000000000003,0.07,10,0.5,0.8534956941120335
100,0.35000000000000003,0.08,10,0.5,0.8457124572243163
100,0.35000000000000003,0.09,10,0.5,0.8508444691253879
100,0.35000000000000003,0.1,10,0.5,0.8409016681256923
100,0.4,0.0,10,0.5,0.4781618528405535
100,0.4,0.01,10,0.5,0.7849175365103612
100,0.4,0.02,10,0.5,0.8669263212182777
100,0.4,0.03,10,0.5,0.8773912338527134
100,0.4,0.04,10,0.5,0.8983738713479891
100,0.4,0.05,10,0.5,0.8936597590566145
100,0.4,0.06,10,0.5,0.8745872133916264
100,0.4,0.07,10,0.5,0.8497345334802173
100,0.4,0.08,10,0.5,0.8333590719123822
100,0.4,0.09,10,0.5,0.8371055428702989
100,0.4,0.1,10,0.5,0.8196418105475243
100,0.45,0.0,10,0.5,0.4841381259598372
100,0.45,0.01,10,0.5,0.7994212408066325
100,0.45,0.02,10,0.5,0.8840466064786657
100,0.45,0.03,10,0.5,0.882257108601003
100,0.45,0.04,10,0.5,0.8969661708773713
100,0.45,0.05,10,0.5,0.8827190186272864
100,0.45,0.06,10,0.5,0.8593399802908773
100,0.45,0.07,10,0.5,0.8356822756243338
100,0.45,0.08,10,0.5,0.812738137788722
100,0.45,0.09,10,0.5,0.8175520990424303
100,0.45,0.1,10,0.5,0.8063102230121539
100,0.5,0.0,10,0.5,0.5620192570092061
100,0.5,0.01,10,0.5,0.8304720477143505
100,0.5,0.02,10,0.5,0.884995557580313
100,0.5,0.03,10,0.5,0.892983421293755
100,0.5,0.04,10,0.5,0.8939147982176108
100,0.5,0.05,10,0.5,0.8806180419859565
100,0.5,0.06,10,0.5,0.8573107757529868
100,0.5,0.07,10,0.5,0.8115309221202467
100,0.5,0.08,10,0.5,0.798980072951599
100,0.5,0.09,10,0.5,0.8101037685017287
100,0.5,0.1,10,0.5,0.7902140577070924
Optimal vals below
60,0.4,0.04,10,0.5,0.8799325754725408
80,0.25,0.04,10,0.5,0.8892456028144069
100,0.4,0.04,10,0.5,0.8983738713479891
