   ETEX Release 1 on 23 October 1994    PMCH concentrations in ng/m3 above ambient level         Version etex1_v1.1.960505                                       
              1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30
  61  D38   -.99  -.88  -.88   .01  -.88  -.88  -.88  -.88   .02   .09   .09   .07   .04  -.88  -.88   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  62  D39   -.99   .00   .00   .00   .00   .00   .00   .00   .00   .00   .01   .01   .03   .10   .75  1.08  -.88   .88   .73   .38   .10   .01   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  63  D40   -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  64  D41   -.99   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .05   .00   .14   .81  -.88   .64   .24   .16   .00   .00   .00   .00   .07   .00  -.99  -.99  -.99  -.99  -.99
  65  D42   -.99   .00  -.99   .00  -.99   .00  -.99   .00   .00   .00   .04   .09   .21  1.50  1.00  2.02   .87  1.30   .07   .00   .00   .02  -.99   .06  -.99  -.99  -.99  -.99  -.99  -.99
  66  D43   -.99   .00   .00   .00   .00   .00   .01   .03   .03   .01   .02   .00  -.88  -.88  -.88  -.88  -.88  -.88  -.88   .00   .03   .01   .02   .02  -.88  -.99  -.99  -.99  -.99  -.99
  67  D44   -.99   .00   .00   .00   .00   .18   .47   .47   .68   .56   .31   .03   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  68  D45   -.99  -.99   .00   .00   .04   .04   .00   .11   .00  1.00  2.84   .87   .16   .07   .05   .12   .03  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.99  -.99  -.99  -.99  -.99
  69  D46   -.99   .00  -.88  -.88  -.88  -.88  -.88  -.88  -.88   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.88  -.88  -.88  -.88  -.99  -.99  -.99  -.99  -.99
  70  D47   -.99   .00   .00   .00   .00   .00   .00   .38   .51   .53   .33   .17   .04   .01   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  71  DK01  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99   .00   .00   .00   .17  2.23  3.04  1.48   .31   .25   .13   .03   .02   .02   .02   .02   .01  -.99
  72  DK02  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99   .00   .00   .00   .00   .00   .22   .88  1.00  1.03   .72   .23   .03   .01   .00   .00   .00   .00   .00   .00   .00   .00   .01
  73  DK03  -.99  -.99  -.99  -.99  -.99   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .04   .72   .95   .36   .30   .30   .18   .01   .00   .00   .00   .00   .00   .00  -.99
  74  DK04  -.99  -.99  -.99  -.99  -.99   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .02   .08   .17   .16   .02   .00   .00   .00   .00   .00   .00  -.99
  75  DK05  -.99  -.99  -.99  -.99  -.99   .00   .00   .00   .00   .00   .00   .00   .01   .00   .30  2.01  1.30  1.16   .57   .43   .19   .06   .02   .02   .02   .03   .03   .03   .03  -.99
  76  DK06  -.99  -.99  -.99  -.99  -.99   .00   .00   .00   .00  -.99   .00  -.99   .05   .00   .06  2.20   .56   .23   .20  4.34   .36   .02   .07   .02   .07   .03   .00   .02   .00  -.99
  77  DK07  -.99  -.99  -.99  -.99  -.99   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  1.09  1.44  1.03   .89   .48   .73   .23   .03   .00   .00   .00   .00   .00   .00  -.99
  78  DK08  -.99  -.99  -.99  -.99  -.99   .00   .00   .00   .00   .00   .00   .01   .01   .01   .10   .44   .22   .31   .46   .35   .05   .00   .00   .00   .00   .00   .00   .00   .00  -.99
  79  DK09  -.99  -.99  -.99  -.99  -.99  -.99   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .02  -.99   .60   .23   .10   .11   .09   .04   .02   .00   .00   .00   .00
  80  DK10  -.99  -.99  -.99  -.99  -.99   .00   .00   .00   .01   .00   .00   .00   .01   .02  1.55  1.39   .99   .75   .37   .19   .04   .04   .00   .07  -.99   .03  -.99   .07  -.99  -.99
  81  DK11  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  82  F01    .00   .00   .00   .00   .00   .01   .01   .05  1.98   .98   .20   .06   .04   .05  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  83  F02    .03   .98  1.92   .03  1.64  3.23   .78   .01   .02   .02   .01   .02   .01   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  84  F03    .00   .00   .00   .00  1.41   .95   .07   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99  -.99  -.99
